our_address,size_bytes,tier,symbol,raw,decoded,equation,units,ca652048_address,description
0x8092,1,MEDIUM,C_CPPWM_AS,0,0,"X","",0x8092,"Common Correction"
0x8094,1,HIGH,C_IGA_AS_0,0,0,"X","",0x8093,"Ignition Angle Correction"
0x8095,1,HIGH,C_IGA_AS_1,0,0,"X","",0x8094,"Ignition Angle Correction"
0x8096,1,HIGH,C_IGA_AS_2,0,0,"X","",0x8095,"Ignition Angle Correction"
0x8097,1,HIGH,C_IGA_AS_3,0,0,"X","",0x8096,"Ignition Angle Correction"
0x8098,1,HIGH,C_IGA_AS_4,0,0,"X","",0x8097,"Ignition Angle Correction"
0x8099,1,HIGH,C_IGA_AS_5,0,0,"X","",0x8098,"Ignition Angle Correction"
0x809A,1,HIGH,C_ISAPWM_AS,0,0,"X","",0x8099,"Common Correction"
0x809B,1,HIGH,C_LSHPWM_1_AS,0,0,"X","",0x809A,"Common Correction"
0x809C,1,HIGH,C_LSHPWM_2_AS,0,0,"X","",0x809B,"Common Correction"
0x809D,1,HIGH,C_LSHPWM_CAT_1_AS,0,0,"X","",0x809C,"Common Correction"
0x809E,1,HIGH,C_LSHPWM_CAT_2_AS,0,0,"X","",0x809D,"Common Correction"
0x809F,1,HIGH,C_SOI_AS,0,0,"X","",0x809E,"Injection Time Correction"
0x80A0,1,HIGH,C_TD_AS,0,0,"X","",0x809F,"Ignition Angle Correction"
0x80A1,1,HIGH,C_INH_IV_AS,0,0,"X","",0x80A0,"Injection Time Correction"
0x80A2,1,HIGH,C_TI_AS_0,128,128,"X","",0x80A2,"Injection Time Correction"
0x80A3,1,HIGH,C_TI_AS_1,128,128,"X","",0x80A3,"Injection Time Correction"
0x80A4,1,HIGH,C_TI_AS_2,128,128,"X","",0x80A4,"Injection Time Correction"
0x80A5,1,HIGH,C_TI_AS_3,128,128,"X","",0x80A5,"Injection Time Correction"
0x80A6,1,HIGH,C_TI_AS_4,128,128,"X","",0x80A6,"Injection Time Correction"
0x80A7,1,HIGH,C_TI_AS_5,128,128,"X","",0x80A7,"Injection Time Correction"
0x80A8,1,HIGH,C_TQR_AS,0,0,"X","",0x80A8,"Common Correction"
0x80A9,1,HIGH,C_ABC_INC_CAM_DIAG,1,1,"X","",0x80A9,"Constants CRK/CAM Diagnosis"
0x80AA,1,HIGH,C_ABC_INC_CAN_BUS_OFF_DIAG,0,0,"X","",0x80AA,"Constants CAN Bus Diagnosis"
0x80AB,1,HIGH,C_ABC_INC_CPS_DIAG,1,1,"X","",0x80AB,"Constants Diagnosis"
0x80AC,1,MEDIUM,C_ABC_INC_CPS_MECHA,0,0,"X","",0x80AC,"Constants Canister Purge Diagnosis"
0x80AD,1,HIGH,C_ABC_INC_CRK_DIAG,4,4,"X","",0x80AD,"Constants CRK/CAM Diagnosis"
0x80AE,1,MEDIUM,C_ABC_INC_DTP_NOISE,0,0,"X","",0x80AE,"Constants DTP Sensor"
0x80AF,1,MEDIUM,C_ABC_INC_DTP_SENS,0,0,"X","",0x80AF,"Constants DTP Sensor"
0x80B0,1,MEDIUM,C_ABC_INC_FTL_DIAG,0,0,"X","",0x80B0,"Constants for FTL"
0x80B1,1,MEDIUM,C_ABC_INC_FTL_INTM_DIAG,0,0,"X","",0x80B1,"Constants for FTL"
0x80B2,1,MEDIUM,C_ABC_INC_IGC_DIAG,0,0,"X","",0x80B2,"Constants Spark advance diagnosis"
0x80B3,1,HIGH,C_ABC_INC_ISA_1_DIAG,2,2,"X","",0x80B3,"Constants ISA Diagnosis"
0x80B4,1,HIGH,C_ABC_INC_ISA_2_DIAG,2,2,"X","",0x80B4,"Constants ISA Diagnosis"
0x80B5,1,HIGH,C_ABC_INC_ISAPWM_H_DIAG,1,1,"X","",0x80B5,"Constants ISA Diagnosis"
0x80B6,1,HIGH,C_ABC_INC_ISAPWM_L_DIAG,1,1,"X","",0x80B6,"Constants ISA Diagnosis"
0x80B7,1,HIGH,C_ABC_INC_IV_DIAG,2,2,"X","",0x80B7,"Constants Diagnosis"
0x80B8,1,MEDIUM,C_ABC_INC_LSH_DOWN_DIAG,0,0,"X","",0x80B8,"Constants Diagnosis"
0x80B9,1,HIGH,C_ABC_INC_LSH_UP_DIAG,1,1,"X","",0x80B9,"Constants Diagnosis"
0x80BA,1,HIGH,C_ABC_INC_MAF_DIAG,5,5,"X","",0x80BA,"Constants Diagnosis"
