frame,Oxygen Sensor-Bank1/Sensor1,Air Flow Rate from Mass Air Flow Sensor,Engine Coolant Temperature Sensor,Oil Temperature Sensor,Intake Air Temperature Sensor,Throttle Position,Adapted Throttle Position,Battery voltage,Cranking Signal,Closed Throttle Position,Part Load Status,Vehicle Speed,Engine Speed,Target Idle Speed,Transaxle Range Switch,A/C Switch,A/C Pressure Switch,A/C Relay,Oxygen Sensor-Bank1/Sensor2,Cylinder Injection Time-Bank1,Fuel System Status,Long Term Fuel Trim-Idle Load,Long Term Fuel Trim-Part Load,Oxygen Sensor Heater Duty-Bank1/Sensor1,Oxygen Sensor Heater Duty-Bank1/Sensor2,Idle speed control actuator,EVAP Purge valve,Ignition dwell time,Camshaft Actual Position,Camshaft position target,CVVT Status,CVVT Actuation Status,CVVT Duty Control Status,CVVT Valve Duty,Ignition Timing Advance for 1 Cylinder
0,183219.93,1840.94,36.0,61,-48.0,28.59,0.17,13.92,0,0,0,0,37,88,0,0,1,0,183219.93,0.0,0,87.04,0.0,50.0,0.0,2.27,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
1,183219.93,1648.94,36.0,61,-48.0,28.59,0.18,14.02,0,2,4,0,33,87,0,0,1,0,183219.93,0.0,0,87.04,0.0,50.0,0.0,2.24,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
2,181964.99,1568.94,36.0,61,-48.0,28.59,0.17,14.02,0,2,0,0,32,87,0,0,0,0,181964.99,0.0,0,89.09,0.0,50.0,0.0,2.24,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
3,184474.86,1544.94,36.0,61,-48.0,28.59,0.18,13.92,1,2,4,0,30,88,0,0,1,0,184474.86,0.0,0,78.85,0.0,50.0,0.0,2.27,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
4,184474.86,1440.97,36.0,61,-48.0,28.59,0.18,13.92,0,0,0,0,29,87,0,0,1,0,184474.86,0.0,0,72.7,0.0,50.0,0.0,2.27,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
5,183219.93,288.97,36.0,61,-48.0,29.05,0.18,14.02,0,2,0,0,28,88,0,0,1,0,183219.93,0.0,0,71.68,0.0,50.0,0.0,2.24,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
6,185729.79,1600.91,36.0,61,-48.0,28.12,0.17,14.02,1,0,4,0,31,87,0,0,0,2,185729.79,0.0,0,72.7,0.0,50.0,0.0,2.24,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
7,184474.86,1496.94,36.0,61,-48.0,28.12,0.17,14.02,1,0,0,0,37,87,0,0,1,0,184474.86,0.0,0,70.66,0.0,50.0,0.0,2.24,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
8,184474.86,1888.94,36.0,61,-48.0,28.59,0.18,13.92,1,2,0,0,59,88,0,0,1,0,184474.86,0.0,0,73.73,0.0,50.0,0.0,2.27,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
9,181964.99,1816.94,36.0,61,-48.0,28.59,0.17,14.02,0,2,0,0,111,88,0,0,0,0,181964.99,0.0,0,77.82,0.0,50.0,0.0,2.24,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
10,183219.93,240.97,36.0,61,-48.0,29.52,0.18,14.12,0,0,0,0,152,87,0,0,1,0,183219.93,0.0,0,75.78,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
